,en,lat,lng
0,Chestnut Bulbul,27.64757,117.94278
1,Chestnut Bulbul,31.028845,119.898605
2,Chestnut Bulbul,24.483877,118.08644
3,Chestnut Bulbul,22.680548,113.85349
4,Chestnut Bulbul,24.861746,118.12162
5,Chestnut Bulbul,30.119272,120.07067
6,Chestnut Bulbul,26.089828,119.23395
7,Chestnut Bulbul,24.847673,118.026924
8,Chestnut Bulbul,30.253456,120.11699
9,Chestnut Bulbul,27.677689,117.97489
10,Chestnut Bulbul,23.262941,114.06437
11,Chestnut Bulbul,24.90173,118.15031
12,Chestnut Bulbul,26.149008,119.29217
13,Chestnut Bulbul,26.085672,119.26489
14,Chestnut Bulbul,24.965546,113.62769
15,Chestnut Bulbul,30.241926,119.75857
16,Chestnut Bulbul,25.959202,109.636246
17,Chestnut Bulbul,29.536919,119.06825
18,Chestnut Bulbul,29.692398,114.23582
19,Chestnut Bulbul,29.559925,119.12599
20,Chestnut Bulbul,22.303108,106.70389
21,Chestnut Bulbul,24.962109,113.62699
22,Chestnut Bulbul,22.260609,106.73683
23,Chestnut Bulbul,27.991245,116.34855
24,Chestnut Bulbul,26.04368,119.350075
25,Chestnut Bulbul,22.996359,105.834946
26,Chestnut Bulbul,25.917171,119.13156
27,Chestnut Bulbul,22.463232,106.957596
0,Chinese Barbet,24.861746,118.12162
1,Chinese Barbet,24.847673,118.026924
2,Chinese Barbet,23.262941,114.06437
3,Chinese Barbet,18.746164,108.84387
0,Chinese Blackbird,39.096325,117.24531
1,Chinese Blackbird,30.610132,114.31947
2,Chinese Blackbird,22.499134,113.95396
3,Chinese Blackbird,40.007866,116.300644
4,Chinese Blackbird,31.028845,119.898605
5,Chinese Blackbird,27.65241,117.981384
6,Chinese Blackbird,31.269634,121.35688
7,Chinese Blackbird,31.236927,121.573555
8,Chinese Blackbird,40.047173,116.393326
9,Chinese Blackbird,40.08008,116.38726
10,Chinese Blackbird,23.888165,106.619125
11,Chinese Blackbird,24.483877,118.08644
12,Chinese Blackbird,22.566784,114.094376
13,Chinese Blackbird,28.951767,120.07401
14,Chinese Blackbird,31.957115,114.244255
15,Chinese Blackbird,30.344103,119.92858
16,Chinese Blackbird,30.119272,120.07067
17,Chinese Blackbird,30.267427,120.07676
18,Chinese Blackbird,29.814137,121.5421
19,Chinese Blackbird,40.131298,116.30796
20,Chinese Blackbird,26.089828,119.23395
21,Chinese Blackbird,39.91554,116.443855
22,Chinese Blackbird,31.259659,120.728516
23,Chinese Blackbird,30.764904,104.1285
24,Chinese Blackbird,23.18312,113.29759
25,Chinese Blackbird,31.209242,121.78188
26,Chinese Blackbird,25.1296,102.760666
27,Chinese Blackbird,31.238844,120.8011
28,Chinese Blackbird,31.331179,120.736115
29,Chinese Blackbird,31.232605,121.43213
30,Chinese Blackbird,31.204721,120.74921
31,Chinese Blackbird,30.253456,120.11699
32,Chinese Blackbird,31.148952,121.30887
33,Chinese Blackbird,31.839529,117.26899
34,Chinese Blackbird,39.89335,116.16179
35,Chinese Blackbird,29.913132,121.52967
36,Chinese Blackbird,40.12383,116.459404
37,Chinese Blackbird,30.093533,120.11677
38,Chinese Blackbird,39.940987,116.46562
39,Chinese Blackbird,31.063559,120.997215
40,Chinese Blackbird,31.448574,120.76839
41,Chinese Blackbird,30.936537,121.906685
42,Chinese Blackbird,23.182203,113.368835
43,Chinese Blackbird,31.118721,120.5221
44,Chinese Blackbird,23.289991,113.714325
45,Chinese Blackbird,39.939495,116.64302
46,Chinese Blackbird,39.777138,116.460594
47,Chinese Blackbird,40.020027,116.39471
48,Chinese Blackbird,31.366514,120.57373
49,Chinese Blackbird,31.139013,121.666374
50,Chinese Blackbird,29.771275,121.33083
51,Chinese Blackbird,40.001648,116.20257
52,Chinese Blackbird,23.096346,113.29858
53,Chinese Blackbird,26.877722,120.06498
54,Chinese Blackbird,40.01521,116.38802
55,Chinese Blackbird,31.157988,120.81632
56,Chinese Blackbird,31.349155,120.45297
57,Chinese Blackbird,30.605564,114.316185
58,Chinese Blackbird,31.182526,121.470825
59,Chinese Blackbird,31.214968,121.5496
60,Chinese Blackbird,40.13205,116.34005
61,Chinese Blackbird,30.632013,104.085846
62,Chinese Blackbird,39.874485,116.38183
63,Chinese Blackbird,30.253855,120.137184
64,Chinese Blackbird,39.939568,116.47927
65,Chinese Blackbird,30.25949,119.914825
66,Chinese Blackbird,31.095327,121.428314
67,Chinese Blackbird,23.181284,113.38981
68,Chinese Blackbird,31.11707,120.58116
69,Chinese Blackbird,30.920507,121.97316
70,Chinese Blackbird,30.241926,119.75857
71,Chinese Blackbird,31.318123,121.54807
72,Chinese Blackbird,40.03307,116.253845
73,Chinese Blackbird,22.547281,113.91835
74,Chinese Blackbird,24.776281,113.267845
75,Chinese Blackbird,31.280752,120.75163
76,Chinese Blackbird,31.340462,121.37495
77,Chinese Blackbird,40.39546,115.82937
78,Chinese Blackbird,30.57081,104.05835
79,Chinese Blackbird,39.8799,116.41058
80,Chinese Blackbird,26.149008,119.29217
81,Chinese Blackbird,30.513933,114.444626
82,Chinese Blackbird,39.857998,116.17127
83,Chinese Blackbird,29.802313,121.56177
84,Chinese Blackbird,31.554543,121.77723
85,Chinese Blackbird,39.88011,116.511185
